12.5,23653
12.533,23679
12.567,23725
12.6,23537
12.633,23434
12.667,23348
12.7,23602
12.733,23570
12.767,23603
12.8,23462
12.833,23443
12.867,23439
12.9,23601
12.933,23417
12.967,23331
13,23449
13.033,23346
13.067,23387
13.1,23519
13.133,23212
13.167,23473
13.2,23265
13.233,23375
13.267,23310
13.3,23418
13.333,23277
13.367,23208
13.4,23293
13.433,23263
13.467,23289
13.5,23250
13.533,23355
13.567,23277
13.6,23309
13.633,23255
13.667,23210
13.7,23241
13.733,23192
13.767,23294
13.8,23120
13.833,23308
13.867,23040
13.9,23035
13.933,23264
13.967,23132
14,22966
14.033,23029
14.067,23025
14.1,23084
14.133,23216
14.167,23214
14.2,23010
14.233,22980
14.267,23201
14.3,23043
14.333,23049
14.367,22940
14.4,22966
14.433,23168
14.467,22988
14.5,22848
14.533,22998
14.567,22991
14.6,23028
14.633,22756
14.667,22952
14.7,23077
14.733,22835
14.767,22870
14.8,22762
14.833,22835
14.867,22731
14.9,22858
14.933,22733
14.967,22944
15,22832
15.033,22953
15.067,22774
15.1,22737
15.133,22741
15.167,22661
15.2,22782
15.233,22809
15.267,22789
15.3,22775
15.333,22666
15.367,22891
15.4,22684
15.433,22502
15.467,22798
15.5,22752
15.533,22687
15.567,22699
15.6,22665
15.633,22716
15.667,22752
15.7,22804
15.733,22714
15.767,22582
15.8,22506
15.833,22635
15.867,22579
15.9,22512
15.933,22575
15.967,22421
16,22581
16.033,22610
16.067,22578
16.1,22505
16.133,22610
16.167,22392
16.2,22616
16.233,22313
16.267,22393
16.3,22638
16.333,22615
16.367,22554
16.4,22347
16.433,22601
16.467,22501
16.5,22389
16.533,22481
16.567,22296
16.6,22394
16.633,22347
16.667,22408
16.7,22443
16.733,22350
16.767,22502
16.8,22461
16.833,22424
16.867,22436
16.9,22411
16.933,22494
16.967,22421
17,22302
17.033,22251
17.067,22376
17.1,22398
17.133,22583
17.167,22225
17.2,22133
17.233,22288
17.267,22128
17.3,22368
17.333,22269
17.367,22415
17.4,22308
17.433,22360
17.467,22284
17.5,22344
17.533,22355
17.567,22349
17.6,22171
17.633,22339
17.667,22384
17.7,22241
17.733,22326
17.767,22338
17.8,22374
17.833,22343
17.867,22363
17.9,22248
17.933,22325
17.967,22277
18,22137
18.033,22266
18.067,22352
18.1,22086
18.133,22377
18.167,21957
18.2,22071
18.233,22435
18.267,22293
18.3,22327
18.333,22242
18.367,22237
18.4,22303
18.433,22283
18.467,22263
18.5,22351
18.533,22032
18.567,22268
18.6,22327
18.633,22144
18.667,22202
18.7,22035
18.733,22244
18.767,22298
18.8,22230
18.833,22276
18.867,22283
18.9,22009
18.933,22278
18.967,22212
19,22074
19.033,22251
19.067,22191
19.1,22259
19.133,22117
19.167,22040
19.2,22363
19.233,22111
19.267,22157
19.3,22111
19.333,22337
19.367,22186
19.4,22303
19.433,22089
19.467,22053
19.5,22240
19.533,22257
19.567,22088
19.6,22289
19.633,22249
19.667,22104
19.7,22201
19.733,22408
19.767,22146
19.8,22299
19.833,22239
19.867,22366
19.9,22218
19.933,22256
19.967,22051
20,22204
20.033,22211
20.067,22132
20.1,22154
20.133,22236
20.167,22252
20.2,22362
20.233,22214
20.267,22256
20.3,22263
20.333,22351
20.367,22304
20.4,22310
20.433,22347
20.467,22194
20.5,22168
20.533,22238
20.567,22211
20.6,22253
20.633,22238
20.667,22327
20.7,22362
20.733,22387
20.767,22268
20.8,22375
20.833,22226
20.867,22132
20.9,22423
20.933,22272
20.967,22235
21,22393
21.033,22301
21.067,22288
21.1,22365
21.133,22185
21.167,22413
21.2,22344
21.233,22389
21.267,22265
21.3,22428
21.333,22399
21.367,22341
21.4,22515
21.433,22463
21.467,22606
21.5,22386
21.533,22528
21.567,22363
21.6,22574
21.633,22492
21.667,22483
21.7,22523
21.733,22597
21.767,22523
21.8,22433
21.833,22479
21.867,22556
21.9,22490
21.933,22419
21.967,22435
22,22434
22.033,22528
22.067,22338
22.1,22472
22.133,22562
22.167,22453
22.2,22385
22.233,22567
22.267,22511
22.3,22415
22.333,22499
22.367,22649
22.4,22778
22.433,22576
22.467,22711
22.5,22595
22.533,22624
22.567,22676
22.6,22573
22.633,22596
22.667,22704
22.7,22701
22.733,22669
22.767,22775
22.8,22705
22.833,22865
22.867,22667
22.9,22572
22.933,22706
22.967,22737
23,22775
23.033,22677
23.067,22731
23.1,22762
23.133,22833
23.167,23001
23.2,22723
23.233,22822
23.267,22763
23.3,22667
23.333,22641
23.367,22774
23.4,23009
23.433,22749
23.467,22912
23.5,22875
23.533,22762
23.567,22807
23.6,23017
23.633,23022
23.667,22803
23.7,23051
23.733,22868
23.767,22921
23.8,22776
23.833,23014
23.867,23002
23.9,22848
23.933,22997
23.967,23049
24,22995
24.033,23036
24.067,23176
24.1,22980
24.133,22935
24.167,22933
24.2,23019
24.233,23097
24.267,23102
24.3,23121
24.333,23076
24.367,22966
24.4,23154
24.433,23134
24.467,23185
24.5,23185
24.533,23035
24.567,23204
24.6,23113
24.633,23135
24.667,23156
24.7,23189
24.733,23195
24.767,23318
24.8,23092
24.833,23406
24.867,23161
24.9,23197
24.933,23409
24.967,23220
25,23165
25.033,23104
25.067,23288
25.1,23167
25.133,23245
25.167,23298
25.2,23291
25.233,23296
25.267,23290
25.3,23246
25.333,23279
25.367,23389
25.4,23449
25.433,23447
25.467,23321
25.5,23357
25.533,23393
25.567,23682
25.6,23450
25.633,23471
25.667,23323
25.7,23556
25.733,23385
25.767,23607
25.8,23576
25.833,23443
25.867,23531
25.9,23540
25.933,23656
25.967,23439
26,23555
26.033,23683
26.067,23527
26.1,23555
26.133,23680
26.167,23668
26.2,23788
26.233,23656
26.267,23609
26.3,23524
26.333,23643
26.367,23758
26.4,23699
26.433,23760
26.467,23594
26.5,23773
26.533,23806
26.567,23698
26.6,23632
26.633,23981
26.667,23720
26.7,23861
26.733,23983
26.767,23720
26.8,23883
26.833,24028
26.867,23922
26.9,23797
26.933,24022
26.967,23945
27,23789
27.033,23907
27.067,23897
27.1,23772
27.133,24205
27.167,24043
27.2,24029
27.233,24027
27.267,23915
27.3,23972
27.333,23991
27.367,24041
27.4,24027
27.433,23930
27.467,24167
27.5,23952
27.533,24055
27.567,24034
27.6,24098
27.633,24130
27.667,23997
27.7,24249
27.733,24109
27.767,24119
27.8,24060
27.833,24108
27.867,24187
27.9,24302
27.933,24202
27.967,24176
28,24312
28.033,24485
28.067,24156
28.1,24173
28.133,24306
28.167,24147
28.2,24315
28.233,24335
28.267,24137
28.3,24426
28.333,24296
28.367,24340
28.4,24429
28.433,24397
28.467,24377
28.5,24427
28.533,24458
28.567,24399
28.6,24372
28.633,24470
28.667,24366
28.7,24562
28.733,24400
28.767,24340
28.8,24613
28.833,24490
28.867,24532
28.9,24546
28.933,24433
28.967,24654
29,24506
29.033,24524
29.067,24554
29.1,24629
29.133,24418
29.167,24768
29.2,24638
29.233,24668
29.267,24441
29.3,24668
29.333,24625
29.367,24655
29.4,24772
29.433,24604
29.467,24641
29.5,24781
29.533,24739
29.567,24565
29.6,24630
29.633,24689
29.667,24820
